exercise, 運動する
give, あげる
curricular, カリキュラムの
beam, 光、光線
buy, 買う
acknowledge, 認める
hand, 手
cheerful, 陽気な，元気のいい
cubic, 三次元の
front, 前部，戦線
cumulative, 累積的な
after, 〜の後に
every, 全部の
compete, 競争する
answer, 答える
everywhere, どこでも
build, 建てる
bakery, パン屋
exciting, 刺激的な、興奮する
feminine, 女性の
cosmetic, 化粧品
bee, ミツバチ
convey, 運ぶ、〜であると伝える
ceiling, 天井
fade, 色あせる、衰える、（光が）かすかになる
exact, 正確な
civic, 市民の、都市の
appreciation, 感謝
bunch, ふさ、束
fashion, 流行; ファッション; 世間の風潮
hybrid, 雑種の、混成の
find, 発見する
disappoint, 失望する
bald, はげた
aspect, 様相、見方、見地
grief, 悲しみ,悲嘆
excuse, 弁解、理由、いいわけ、許し、早退
consideration, 熟考、考慮
fish, 魚
cork, コルク
happy, 幸せな
derivative, 派生的な
act, 行動する，を演じる
confess, 告白する
flower, 花
ancestor, 祖先、先祖
bad, 悪い
close, 閉じる
accordingly, それに応じて; それ故
grip, グリップ・把握
condem, 責める、非難する
bush, かん木，やぶ
break, 〜を壊す
crowded, 混雑した
giant, 巨人、巨大な
admix, 混合する
accuracy, 正確さ
cabin, 小屋
controversial, 論争上の、論争の余地のある
cheese, チーズ
firm, 会社
harvest, 収穫
elect, 選挙する、選ぶ
clean, 清潔な
hundred, 百
grid, （鉄）格子; 焼き網; （地図・街路の）碁盤目; 【電子工】
country, 国,田舎
appeal, アピールする、訴える
busy, 忙しい
cheer, 応援する、励ます
finish, 終える
clue, 手がかり、きっかけ、端緒
friday, 金曜日
conserve, 保存する
catch, 捕る
auditory, 聴覚の
diverce, 分割する
comprise, 構成する
advance, 進める; 昇進させる; （時期を）早める; 促進［推進］する
brave, 勇敢な
crime, 罪、犯罪
bow, おじぎ
cut, 切る
english, 英語
feature, 特徴、容貌
correct, 正しい、訂正する
ancient, 古代の
constitute, 設立、構成する
dominate, 支配する
horizon, 地平線、地平
alarm, 驚き、警告
expedition, 探検,遠征
cool, 冷たい、冷静な
easy, 簡単な
drawer, 引き出し
bundle, 包む
crop, 農作物、収穫
attention, 注目
great, 偉大な,すごい
beneath, 下方に; すぐ下に; 劣って
eleventh, 11番目の
cue, 合図、きっかけ
determine, 決定する
bridge, 橋
again, 再び
animal, 動物
evolve, 発展する、〜を展開する
call, 呼ぶ
coach, 指導する
all, 全ての
hard, 困難な・堅い
commercial, 商業の，貿易の
feed, 餌を与える
ankle, 足首
cry, 泣き叫ぶ
consensus, 一致、総意
director, 監督
constriction, 緊張、収縮
fly, ハエ
family, 家族
examin, 検査する、吟味する
high, 高い
forest, 森
expansion, 拡張、膨張、発展
agree, 同意する、意見が一致する
college, 単科大学
food, 食べ物
expend, 費やす
big, 大きい
another, 他の
brother, 兄弟
briefly, 簡単に
attend, 出席する
fly, 飛ぶ
expenditure, 費用、支出
glass, 眼鏡
extent, 大きさ、広さ、範囲
dragon, 竜
disinterested, 無関心な、私欲のない
flood, 洪水
come, 来る
carry, 運ぶ
far, 遠い
building, 建設物
how, どのようにして
grow, 成長する
color, 色
basis, 基礎、論拠、根拠
criticize, 批判する
concentration, 集中、濃縮
crucial, 決定的な、重要な
dive, 潜水する、飛び込む
devil, 悪魔
chamber, 部屋
assent, 同意する
forego, 先行する
host, 主人
head, 頭
half, 半分の
belong, 〜に属する
grill, 焼き網、グリル
bread, パン
colleague, 同僚
also, 〜も,又
cynicism, シニシズム、禁欲主義
august, 八月
hair, 髪の毛
conduct, 行為、指揮
document, 文書、ドキュメント
fast, 速い
echo, こだま、反響
approve, 是認する
departure, 出発
city, 町
cardboard, ボール紙
cloud, 雲
feel, 感じる
confer, 相談する
collect, を集める，集まる
hall, ホール,玄関
excellent, 優れた
but, しかし、が
confide, 信用する、打ち明ける
convenient, 便利な、都合の良い
deficit, 欠陥、欠点、不足
breed, 生む
admission, 入場、許可、承認
farm, 農場
calm, 穏やかな
chair, 椅子
cold, 寒い、冷たい
extensive, 広範な
because, 〜なので
conceive, 考え、恨みを）抱く; 思いつく［浮べる］, 理解［想像］する ((of)); 思う
daughter, 娘
ache, 痛み
appropriation, 占有
adjective, 形容詞
helmet, ヘルメット
boast, 自慢する
discrete, 別々の
bronze, 青銅
doll, 人形
excellence, 優秀さ、長所
home, 家,故郷
grease, 油
declare, 宣言・断言する
dinosaur, 恐竜
customary, 習慣的な、慣習の
anatomically, 解剖学的に
enough, 充分な
conventional, 慣習［因襲］的な; （戦争・武器など）通常の, 在来（型）の
accept, 受け入れる、認める
boil, 沸かす,煮る
dispel, 追い散らす
finance, 財政、金融
able, 才能のある, 有能な
crash, 衝突、崩壊
foot, 足
early, 早い
decline, 断る
down, 下に
descern, 識別する、認識する
canoe, カヌー
concrete, コンクリート
ever, かつて
crazy, 気の狂った，〜に熱中している
hindrance, 妨害
bear, 生む
apparatus, 器具、装置
decorate, 飾る
auditorium, 講堂
charm, 魅力
hope, 望む
contend, 主張する、論争する
glue, 糊、接着剤
evolution, 進化、進歩、発展
evening, 夕方
conceit, うぬぼれ
aunt, 叔母
hear, 聞く
blood, 血，血気
affect, 影響する、振りをする
flat, 平らな
eye, 目
cooperation, 協力、共同
climate, 気候、地方、風潮
alter, かえる
drift, 流れ, 潮流; 漂流（物）
design, 計画, 目的, 意図; （pl.） 陰謀; 設計, 筋書; 下絵; 図案, デザイン
figure, 形, 姿; 体型; 肖像; 外観; 風采; 人物, 名士; 象徴; 図面; 図案; 図解
careless, 不注意な
coalesce, 合体、連合する
engage, 契約する、雇う
drink, 飲む
expel, 噴出する
constant, 一定の、不変の、不断の
